Date/Time,Word Count,ar,da,de,en,en-GB,en-HK,es,es-419,fi,fr,fr-CA,it,ja,ko,nl,pl,pt,pt-BR,ru,sv,th,tr,zh-Hans,zh-Hant
2021.10.07-12.26.58,2491,2183,0,2183,2480,0,0,2183,2183,0,2182,0,2183,2182,2182,0,2183,0,2183,2184,0,0,2182,2183,0
2021.10.11-15.50.40,2352,2141,0,2141,2352,0,0,2141,2141,0,2141,0,2141,2141,2141,0,2141,0,2141,2142,0,0,2141,2141,0
2021.10.11-15.51.31,2352,2141,0,2141,2338,0,0,2141,2141,0,2141,0,2141,2141,2141,0,2141,0,2141,2142,0,0,2141,2141,0
2021.10.13-17.46.24,2340,1834,0,1834,2340,0,0,1834,1834,0,1834,0,1834,1834,1834,0,1834,0,1834,1835,0,0,1834,1834,0
2021.10.13-17.46.37,2340,1951,0,1951,2033,0,0,1951,1951,0,1949,0,1951,1949,1949,0,1951,0,1951,1952,0,0,1949,1951,0
2021.10.14-08.22.32,2341,1947,0,1947,2341,0,0,1947,1947,0,1945,0,1947,1945,1945,0,1947,0,1947,1948,0,0,1945,1947,0
2021.10.14-08.22.45,2341,1947,0,1947,2337,0,0,1947,1947,0,1945,0,1947,1945,1945,0,1947,0,1947,2255,0,0,1945,1947,0
2021.10.14-15.58.18,2341,1947,0,1947,2341,0,0,1947,1947,0,1945,0,1947,1945,1945,0,1947,0,1947,2255,0,0,1945,1947,0
2021.10.14-15.58.31,2341,2260,0,2258,2341,0,0,2260,2260,0,2258,0,2260,2258,2258,0,2260,0,2260,2261,0,0,2258,2260,0
2021.10.15-18.29.10,2341,2225,0,2223,2341,0,0,2225,2225,0,2223,0,2225,2223,2223,0,2225,0,2225,2226,0,0,2223,2225,0
2021.10.15-18.29.23,2341,2226,0,2224,2306,0,0,2226,2226,0,2224,0,2226,2224,2224,0,2226,0,2226,2227,0,0,2224,2226,0
2021.10.18-09.06.45,2341,2226,0,2224,2341,0,0,2226,2226,0,2224,0,2226,2224,2224,0,2226,0,2226,2227,0,0,2224,2226,0
